size,serialised,deserialised
5,20636294,20973663
6,20387635,20311078
7,20227161,20769120
8,20388917,20686138
9,20250135,21091988
10,20527566,21487307
11,20572356,22487366
12,20318946,49504682
13,20355947,56103425
14,20682857,91120204
15,20878174,106979292
16,20987934,160462347
17,20731367,223012825
18,20956331,378985488
19,20983339,628215279
20,21652881,1189470049
