size,serialised,deserialised
5,17677286,17234244
6,17473739,17609017
7,17496039,17304683
8,17602198,17537436
9,17916400,17613682
10,18034925,18052545
11,19077911,20508244
12,45180324,44152772
13,46314698,46880770
14,73350786,74337845
15,85333069,86496780
16,126490676,135058740
17,164498607,179957980
18,272872185,349818311
19,429484365,527435861
20,968897295,1164222197
