size,data,pointer
5,21324,19761
6,34098,31340
7,56083,51176
8,108360,93269
9,198011,174748
10,391284,355638
11,774750,670958
12,1648425,1352131
13,3298146,2741966
14,6402657,5238411
15,12721304,10364710
16,25763581,21126140
17,52620750,42153579
18,107829228,83298159
19,215637706,168004020
20,448194519,333366124
