size,data,pointer
5,22572,9398
6,36789,8086
7,53471,7857
8,103060,7999
9,199010,9164
10,376902,9760
11,772392,9993
12,1482708,9523
13,3236316,11105
14,6151607,12118
15,12855121,11645
16,25947201,13751
17,51955784,12205
18,107540198,13633
19,221078781,13737
20,445379608,14848
