size,serialised,deserialised
5,21887,21795
6,33699,37987
7,59423,64197
8,61239,122933
9,59513,233925
10,60504,451437
11,61025,866983
12,61023,1794524
13,59883,3773223
14,62779,7660978
15,61465,15306905
16,62119,31562179
17,62901,62878961
18,62125,127222360
19,64011,256188391
20,65853,543322348
